Group ID,Left,Right,Observ 1,Observ 2,Depth,Distance
0,5R7Y,,1,,0,
1,5R7Z,,1,,0,
2,5R80,,1,,0,
3,5R81,,1,,0,
4,5R82,,1,,0,
5,5R83,,1,,0,
6,5R84,,1,,0,
7,5RE4,,1,,0,
8,5RE9,,1,,0,
9,5REB,,1,,0,
10,5REZ,,1,,0,
11,5RF1,,1,,0,
12,5RF6,,1,,0,
13,5RF7,,1,,0,
14,5RFE,,1,,0,
15,5RG1,,1,,0,
16,5RGH,,1,,0,
17,5RGI,,1,,0,
18,5RGK,,1,,0,
19,5RGT,,1,,0,
20,5RGV,,1,,0,
21,5RGW,,1,,0,
22,5RGX,,1,,0,
23,5RGY,,1,,0,
24,5RGZ,,1,,0,
25,5RH0,,1,,0,
26,5RH1,,1,,0,
27,5RH2,,1,,0,
28,5RH3,,1,,0,
29,5RH6,,1,,0,
30,5RH8,,1,,0,
31,5RHD,,1,,0,
32,6M2N,,1,,0,
33,6W63,,1,,0,
34,6WNP,,1,,0,
35,6XFN,,1,,0,
36,7A1U,,1,,0,
37,7ANS,,1,,0,
38,7AP6,,1,,0,
39,7AVD,,1,,0,
40,7AWU,,1,,0,
41,7JU7,,1,,0,
42,7KX5,,1,,0,
43,7L5D,,1,,0,
44,22,24,1,1,1,0.0026288521549557853
45,17,35,1,1,1,0.0038256868191589577
46,9,16,1,1,1,0.00555601225603064
47,13,21,1,1,1,0.00677748666028366
48,27,44,1,2,2,0.006971925580247618
49,5,26,1,1,1,0.00743635054856806
50,33,42,1,1,1,0.00837050629586511
51,0,39,1,1,1,0.00970484211490108
52,19,25,1,1,1,0.010646270860671048
53,7,18,1,1,1,0.012951450669415054
54,41,43,1,1,1,0.013381040279331291
55,6,28,1,1,1,0.015113777039143184
56,46,51,2,2,2,0.016222186526352544
57,49,52,2,2,2,0.018066686839952273
58,47,48,2,3,3,0.023257491329108593
59,2,11,1,1,1,0.024957288563666635
60,1,3,1,1,1,0.02512950977788808
61,20,40,1,1,1,0.028607404903191913
62,55,58,2,5,4,0.031058253080075815
63,4,8,1,1,1,0.031882557602036954
64,15,29,1,1,1,0.032024170558118126
65,37,56,1,4,3,0.0322083759757823
66,12,31,1,1,1,0.03471201197012419
67,30,50,1,2,2,0.04870211609323394
68,53,61,2,2,2,0.05081854044440015
69,64,67,2,3,3,0.06403308717284273
70,57,68,4,4,3,0.07920810623269725
71,63,65,2,5,4,0.08923456635064408
72,32,36,1,1,1,0.12296181801346329
73,38,54,1,2,2,0.15550098982010152
74,14,71,1,7,5,0.15883158404915765
75,59,60,2,2,2,0.1616317625182172
76,45,70,2,8,4,0.16784471927241684
77,34,72,1,2,2,0.24441019839163713
78,66,74,2,8,6,0.31686745791768056
79,62,76,7,10,5,0.32422073737605994
80,69,79,5,17,6,0.4062359549035429
81,10,23,1,1,1,0.41413050237887783
82,77,78,3,10,7,0.5391972183241687
83,75,81,4,2,3,0.8368978311353282
84,73,82,3,13,8,0.9216734552901834
85,83,84,6,16,9,1.6390754520321726
86,80,85,22,22,10,1.8849920622276057
